site_name,state,city,rail_served,acres,nearby_class1,transload_available,interstate_access,port_access,target_industries,source_url,source_confidence,last_verified,data_gap_notes
Access 25 Logistics Park,CO,Mead,Yes,300,"BNSF Railway, Union Pacific",Yes,Yes,No,"Warehousing, distribution, manufacturing, outdoor storage, construction materials",https://omnitrax.com/access-25/,High,2026-05-06,"Confirm active availability, utilities, zoning, and pricing before external marketing."
Great Western Industrial Park,CO,Windsor,Yes,3000,"BNSF Railway, Union Pacific",Yes,Yes,No,"Manufacturing, food and agriculture, energy, construction materials, logistics",https://omnitrax.com/locations/,High,2026-05-06,"Confirm active availability, utilities, zoning, and pricing before external marketing."
Savannah Gateway Industrial Hub,GA,Rincon,Yes,2600,"CSX Transportation, Norfolk Southern",Yes,Yes,Yes,"Manufacturing, warehousing, distribution, automotive suppliers, food and agriculture, chemicals",https://omnitrax.com/savannah-gateway-industrial-hub-2/,High,2026-05-06,"Confirm active availability, utilities, zoning, and pricing before external marketing."
Savannah Industrial Transportation Transload Terminal,GA,Rincon,Yes,,"CSX Transportation, Norfolk Southern",Yes,Yes,Yes,"Dry bulk, liquid bulk, plastics, chemicals, food and agriculture, export logistics",https://omnitrax.com/savannah-gateway-industrial-hub-2/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
Port of Brownsville Industrial Development Area,TX,Brownsville,Yes,40000,"Union Pacific, CPKC via UP",Yes,Yes,Yes,"Steel, energy, chemicals, food and agriculture, automotive, project cargo",https://omnitrax.com/brownsville-rio-grande/,High,2026-05-06,"Confirm active availability, utilities, zoning, and pricing before external marketing."
Brownsville and Rio Grande Transload Terminal,TX,Brownsville,Yes,,"Union Pacific, CPKC via UP",Yes,Yes,Yes,"Dry bulk, liquid bulk, steel, agriculture, food products, general commodities",https://omnitrax.com/brownsville-rio-grande/,Medium,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Record is useful for screening but should be confirmed for parcel availability, capacity, and operating details."
River Ridge Commerce Center,IN,Jeffersonville,Yes,6000,CSX Transportation,Yes,Yes,Yes,"Aerospace, automotive, food and beverage, life sciences, pharmaceuticals, warehousing, distribution",https://omnitrax.com/river-ridge-development-authority/,High,2026-05-06,"Confirm active availability, utilities, zoning, and pricing before external marketing."
Port Muskogee Industrial Complex,OK,Muskogee,Yes,1000,Union Pacific,Yes,Yes,Yes,"Chemicals, construction materials, energy, agriculture, metals, river-served manufacturing",https://omnitrax.com/our-managed-railroad-port-muskogee-railroad-llc/,High,2026-05-06,"Confirm active availability, utilities, zoning, and pricing before external marketing."
Port Muskogee South Industrial Park,OK,Muskogee,Yes,,Union Pacific,Yes,Yes,Yes,"Bulk commodities, manufacturing, construction materials, energy, warehousing",https://omnitrax.com/our-managed-railroad-port-muskogee-railroad-llc/,High,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Confirm active availability, utilities, zoning, and pricing before external marketing."
Port of Catoosa Industrial Railroad,OK,Catoosa,Yes,,"Union Pacific, BNSF Railway",Yes,Yes,Yes,"Energy, chemicals, steel, construction materials, agriculture, river-served logistics",https://omnitrax.com/locations/,High,2026-05-06,"Public source confirms the asset/service area but does not publish available acreage. Confirm active availability, utilities, zoning, and pricing before external marketing."
