location,type,latitude,longitude,rail_connections,capacity_score,major_city,region,port_nearby,interstate_access,transload_hub,logistics_score,source_url,source_confidence,last_verified,data_gap_notes
Access 25 Logistics Park,Industrial Park,40.2333,-104.9986,2,4,Mead,Mountain,No,I-25,Yes,8,https://omnitrax.com/access-25/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Alabama & Tennessee River Railway,OmniTRAX Railroad,34.0143,-86.0066,2,4,Gadsden,Southeast,Yes,I-59/I-759,Yes,8,https://omnitrax.com/alabama-tennessee-2/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Brownsville & Rio Grande International Railway,Port Terminal Railroad,25.9017,-97.4975,3,5,Brownsville,South-Central,Yes,I-69E/US-77,Yes,10,https://omnitrax.com/brownsville-rio-grande/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Carlton Trail Railway Company,OmniTRAX Railroad,53.2033,-105.7531,2,3,Prince Albert,Canada,No,SK-11,Yes,6,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Central Texas & Colorado River Railway,OmniTRAX Railroad,31.1957,-98.7181,1,3,San Saba,South-Central,No,US-190,Yes,6,https://omnitrax.com/central-texas-colorado-river-railway/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Chicago Rail Link,Terminal Railroad,41.8781,-87.6298,7,5,Chicago,Midwest,Yes,Multiple,Yes,10,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Cleveland & Cuyahoga Railway,OmniTRAX Railroad,41.4993,-81.6944,2,4,Cleveland,Midwest,Yes,I-90/I-77/I-71,Yes,8,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Cleveland Port Railway,Port Terminal Railroad,41.5084,-81.6954,2,4,Cleveland,Midwest,Yes,I-90,Yes,9,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Fulton County Railway,Industrial Switching Railroad,33.7490,-84.3880,1,4,Atlanta,Southeast,No,I-20/I-285,Yes,8,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Georgia & Florida Railway,OmniTRAX Railroad,31.5785,-84.1557,2,4,Albany,Southeast,No,US-82/US-19,Yes,7,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Georgia Woodlands Railroad,OmniTRAX Railroad,33.7368,-82.7393,1,3,Washington,Southeast,No,US-78/GA-17,Yes,6,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Great Western Industrial Park,Industrial Park,40.4775,-104.9014,2,5,Windsor,Mountain,No,I-25/US-34,Yes,9,https://omnitrax.com/real-estate/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Great Western Railway of Colorado,OmniTRAX Railroad,40.3978,-105.0749,4,5,Loveland,Mountain,No,I-25/US-34,Yes,9,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Illinois Railway,OmniTRAX Railroad,41.3456,-88.8426,7,5,Ottawa,Midwest,No,I-39/I-80,Yes,9,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Kettle Falls International Railway,OmniTRAX Railroad,48.6107,-118.0558,2,3,Kettle Falls,Pacific,No,US-395,Yes,6,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Manufacturers Junction Railway,Industrial Switching Railroad,41.8050,-87.8692,2,3,Cicero,Midwest,No,I-55/I-290,Yes,7,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Mount Vernon Railroad,OmniTRAX Railroad,37.9323,-87.8950,1,3,Mount Vernon,Midwest,Yes,I-64,Yes,6,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Nebraska Kansas & Colorado Railway,OmniTRAX Railroad,40.8411,-101.7252,2,4,Grant,Midwest,No,US-6/US-34,Yes,7,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Newburgh & South Shore Railroad,Industrial Switching Railroad,41.4993,-81.6944,2,4,Cleveland,Midwest,Yes,I-90/I-77,Yes,8,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Northern Ohio & Western Railway,OmniTRAX Railroad,41.1145,-83.1774,1,3,Tiffin,Midwest,No,US-224/SR-18,Yes,6,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Panhandle Northern Railroad,OmniTRAX Railroad,35.5362,-100.9599,1,3,Borger,South-Central,No,TX-136/US-60,Yes,6,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Peru Industrial Railroad,Industrial Switching Railroad,40.7537,-86.0689,1,3,Peru,Midwest,No,US-24/US-31,Yes,6,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
Port of Catoosa Industrial Railroad,Port Terminal Railroad,36.1854,-95.7458,2,4,Catoosa,South-Central,Yes,I-44/US-412,Yes,9,https://omnitrax.com/locations/,High,2026-05-06,"Coordinates are approximate city or service-area points for screening; confirm exact GIS, interchange, and capacity details before project use."
