company,segment,state,city,commodity_type,inbound_materials,outbound_products,why_target,omnitrax_outreach_angle,rail_fit_score,industrial_real_estate_score
Nucor,Steel mills,AL,Birmingham,Steel,"Scrap metal, iron units, alloys",Finished steel products,"Speculative rail-served expansion prospect; heavy inbound and outbound steel flows fit Alabama and Brownsville corridors.",Serve mill or downstream sites with rail access and industrial development,5,5
Cleveland-Cliffs,Steel mills,OH,Cleveland,Steel,"Iron ore, coal, scrap, alloys",Flat-rolled steel,"Speculative prospect for Cleveland-area rail-served metals logistics; verify active real estate or transload need.",Target rail-served metals sites and port-enabled bulk handling,5,5
Steel Dynamics,Steel mills,IN,Fort Wayne,Steel,"Scrap metal, iron units, alloys",Steel products,"Speculative prospect for Midwest rail-served growth; EAF steel flows align with scrap and finished-products logistics.",Target scrap-fed rail locations and large industrial sites,5,5
Commercial Metals Company,Scrap metal,TX,Irving,Scrap Metal,"Scrap metal, ferrous materials",Processed scrap and rebar,"Speculative prospect for Texas rail-served metals recycling or downstream distribution near Brownsville and Central Texas.",Target rail-served scrap yards and metals transload sites,5,4
Radius Recycling,Scrap metal,OR,Portland,Scrap Metal,"Scrap metal, end-of-life vehicles",Processed ferrous and nonferrous scrap,"Speculative prospect for Stockton or port-connected scrap flows; verify market-specific site requirement.",Position dual-rail transload and port-adjacent metals logistics,5,4
Ryerson,Steel service centers,IL,Chicago,Steel,"Steel coils, plate, bar products",Processed steel,"Speculative service-center or distribution prospect in Chicago and Midwest OmniTRAX-served markets.",Target rail-served distribution and inventory sites,4,4
Reliance Steel & Aluminum,Steel service centers,CA,Los Angeles,Steel,"Steel, aluminum, specialty metals",Processed metals,"Speculative prospect for Stockton and port-adjacent metals distribution; verify facility strategy.",Support rail-served metals distribution and transload access,4,4
O'Neal Steel,Steel service centers,AL,Birmingham,Steel,"Steel plate, coil, bar",Fabricated steel products,"Speculative prospect for Alabama rail-served service center growth near ATN markets.",Connect metals inventory to rail-served industrial sites,4,4
Worthington Steel,Steel service centers,OH,Columbus,Steel,"Steel coils, specialty metals",Processed steel,"Speculative Ohio metals prospect with rail-heavy inbound steel potential; verify active project timing.",Offer Cleveland-area and Midwest rail-served metals sites,4,4
Tenaris,Pipe and tube,TX,Houston,Pipe and Tube,"Steel billets, coils, pipe inputs",Steel pipe and tube,"Speculative energy pipe prospect for Brownsville and Texas corridors; verify project scope.",Target rail and port-served pipe logistics,5,5
Vallourec,Pipe and tube,OH,Youngstown,Pipe and Tube,"Steel billets, scrap, alloys",Seamless pipe,"Speculative Ohio pipe and tube prospect; rail-served metals inputs fit Cleveland-area infrastructure.",Position rail-served heavy manufacturing and storage sites,5,4
Zekelman Industries,Pipe and tube,IL,Chicago,Pipe and Tube,"Steel coil, strip steel",Tube and pipe products,"Speculative Midwest pipe and tube prospect for Chicago or Illinois Railway corridors.",Offer steel coil transload and rail-served manufacturing sites,5,4
U.S. Pipe,Pipe and tube,AL,Birmingham,Pipe and Tube,"Iron, scrap, alloys",Ductile iron pipe,"Speculative Alabama infrastructure materials prospect; verify active site need.",Connect heavy pipe production to rail-served industrial locations,5,4
Advanced Drainage Systems,Pipe and tube,OH,Hilliard,Building Materials,"Plastic resin, pipe inputs",Drainage pipe and products,"Speculative plastics pipe prospect for transload-oriented resin supply near OmniTRAX markets.",Lead with resin transload and industrial real estate options,4,4
Charlotte Pipe and Foundry,Pipe and tube,NC,Charlotte,Pipe and Tube,"Resin, cast iron inputs",Pipe and fittings,"Speculative prospect for Southeast rail-served pipe distribution; verify market expansion interest.",Position rail-served storage and regional distribution,4,4
Vulcan Materials,Construction materials,AL,Birmingham,Construction Materials,"Aggregates, stone, cement inputs",Construction aggregates,"Speculative aggregate and construction materials prospect for ATN and port-connected bulk logistics.",Target quarry-to-market rail and transload lanes,5,4
Martin Marietta Materials,Construction materials,NC,Raleigh,Construction Materials,"Aggregates, cement, stone",Construction materials,"Speculative prospect for rail-served aggregate distribution across OmniTRAX markets; verify local demand.",Offer bulk transload and rail-served industrial sites,5,4
CRH,Construction materials,GA,Atlanta,Construction Materials,"Cement, aggregates, asphalt inputs",Building materials,"Speculative Georgia prospect aligned with Fulton County and Savannah construction-material flows.",Target rail-served building-products and aggregates sites,4,4
Cemex,Construction materials,TX,Houston,Construction Materials,"Cement clinker, aggregates, additives",Cement and concrete products,"Speculative Texas and port-market prospect; verify active facility or terminal requirement.",Position Brownsville and port/rail bulk logistics,4,4
Holcim US,Construction materials,IL,Chicago,Construction Materials,"Cement, aggregates, additives",Cement and building materials,"Speculative Midwest prospect for Chicago and Illinois Railway construction-material flows.",Offer rail-served bulk material terminals,4,4
Heidelberg Materials,Construction materials,TX,Irving,Construction Materials,"Cement, aggregates, fly ash",Cement and aggregates,"Speculative bulk materials prospect for Texas and Midwest transload-oriented sites.",Target rail-served cement and aggregate distribution,4,4
